MUNIC_RES,ANO,POPULACAO
2402907,1992,4766
2403004,1992,7953
2403103,1992,40577
2403202,1992,6508
2403251,1992,64493
2403301,1992,4770
2403400,1992,5516
2403509,1992,10271
2403608,1992,15226
2403707,1992,6170
2403806,1992,12479
2403905,1992,3240
2404002,1992,4663
2404101,1992,1268
2404200,1992,17818
2404309,1992,10557
2404408,1992,9384
2404507,1992,6234
2404606,1992,9080
2404705,1992,16335
2404804,1992,1708
2404903,1992,4992
2405009,1992,6983
2405108,1992,5560
2405207,1992,6018
2405306,1992,6639
2405405,1992,6099
2405504,1992,2418
2405603,1992,10062
2405702,1992,11944
2405801,1992,26086
2405900,1992,2631
2406007,1992,5518
2406106,1992,14750
2406205,1992,5124
2406304,1992,5074
2406403,1992,1955
2406502,1992,11051
2406601,1992,6200
2406700,1992,8729
2406809,1992,4495
2406908,1992,2995
2407005,1992,11390
2407104,1992,44254
2407203,1992,26129
2407302,1992,8865
2407401,1992,12278
2407500,1992,13634
2407609,1992,3414
2407708,1992,9625
2407807,1992,16002
2407906,1992,2776
2408003,1992,195997
2408102,1992,619241
2408201,1992,14212
2408300,1992,30302
2408409,1992,4566
2408508,1992,4544
2408607,1992,3572
2408706,1992,4026
2408805,1992,3994
2408904,1992,17726
2409100,1992,6598
2409209,1992,2458
2409308,1992,11701
2409407,1992,21059
2409506,1992,3496
2409605,1992,2690
2409704,1992,11575
2409803,1992,12869
2409902,1992,11114
2410009,1992,2169
2410108,1992,10553
2410207,1992,6387
2410306,1992,6059
2410405,1992,6837
2410504,1992,3384
2410603,1992,2953
2410702,1992,2562
2410801,1992,3990
2410900,1992,5802
2411007,1992,5286
2411106,1992,3278
2411205,1992,29248
2411403,1992,17131
2411429,1992,2511
2411502,1992,19293
2411601,1992,9040
2411700,1992,3212
2411809,1992,3517
2411908,1992,2824
2412005,1992,46291
2412104,1992,5540
2412203,1992,28686
2412302,1992,11791
2412401,1992,3192
2412500,1992,21455
2412609,1992,14655
2412708,1992,7002
2412807,1992,7872
2412906,1992,11471
2413003,1992,4984
2413102,1992,4329
2413201,1992,2707
2413300,1992,6281
2413359,1992,8165
2413409,1992,7486
2413508,1992,6792
2413607,1992,10552
2413706,1992,4591
2413805,1992,2090
2413904,1992,10529
2414001,1992,10320
2414100,1992,9496
2414209,1992,6030
2414308,1992,1967
2414407,1992,27569
2414506,1992,11046
2414605,1992,8722
2414704,1992,8677
2414803,1992,8115
2414902,1992,1324
2415008,1992,2320
2500106,1992,8244
2500205,1992,7209
2500304,1992,30103
2500403,1992,22442
2500502,1992,11012
2500601,1992,13476
2500700,1992,21578
2500809,1992,18353
2500908,1992,9795
2501005,1992,17813
2501104,1992,28172
2501203,1992,6136
2501302,1992,28957
2501401,1992,5447
2501500,1992,22997
2501609,1992,17107
2501708,1992,5167
2501807,1992,78391
2501906,1992,15854
2502003,1992,8084
2502102,1992,6001
2502201,1992,1763
2502300,1992,6234
2502409,1992,9145
2502508,1992,33416
2502607,1992,5745
2502706,1992,4133
2502805,1992,13871
2502904,1992,6190
2503001,1992,15221
2503100,1992,6186
2503209,1992,29319
2503308,1992,7261
2503407,1992,2908
2503506,1992,17770
2503605,1992,10481
2503704,1992,51530
2503803,1992,4527
2503902,1992,5567
2504009,1992,331287
2504108,1992,1901
2504207,1992,5140
2504306,1992,25207
2504405,1992,23335
2504504,1992,7354
2504603,1992,10546
2504702,1992,4321
2504801,1992,14556
2504900,1992,12550
2505006,1992,6278
2505105,1992,23168
2505204,1992,7061
2505303,1992,2540
2505402,1992,12835
2505501,1992,3101
2505600,1992,7437
2505709,1992,9831
2505808,1992,7291
2505907,1992,3144
2506004,1992,27970
2506103,1992,13263
2506202,1992,2680
2506301,1992,49316
2506400,1992,13130
2506509,1992,6103
2506608,1992,6569
2506707,1992,10227
2506806,1992,21833
2506905,1992,26443
2507002,1992,19921
2507101,1992,13485
2507200,1992,9141
2507309,1992,18344
2507408,1992,9563
2507507,1992,508382
2507606,1992,7292
2507705,1992,17595
2507804,1992,5859
2507903,1992,9489
2508000,1992,10565
2508109,1992,5694
2508208,1992,7258
2508307,1992,21957
2508406,1992,3293
2508505,1992,7105
2508604,1992,7782
2508703,1992,4666
2508802,1992,6018
2508901,1992,50589
2509008,1992,11432
2509107,1992,20993
2509206,1992,11942
2509305,1992,5069
2509404,1992,13306
2509503,1992,3897
2509602,1992,4073
2509701,1992,27067
2509800,1992,10858
2509909,1992,11648
2510006,1992,7368
2510105,1992,7286
2510204,1992,6264
2510303,1992,3337
2510402,1992,9098
2510501,1992,3353
2510600,1992,2792
2510709,1992,3406
2510808,1992,82412
2510907,1992,11079
2511004,1992,3623
2511103,1992,6711
2511202,1992,26996
2511301,1992,16109
2511400,1992,18922
2511509,1992,13844
2511608,1992,7907
2511707,1992,5418
2511806,1992,10648
2511905,1992,9611
2512002,1992,14477
2512101,1992,39492
2512200,1992,3282
2512309,1992,22493
2512408,1992,11631
2512507,1992,33099
2512606,1992,1639
2512705,1992,17239
2512804,1992,9395
2512903,1992,27279
2513000,1992,2679
2513109,1992,12521
2513208,1992,7362
2513307,1992,6159
2513406,1992,13108
2513505,1992,6522
2513604,1992,8010
2513703,1992,95713
2513802,1992,4864
2513901,1992,21880
2514008,1992,7519
2514107,1992,4102
2514206,1992,7583
2514305,1992,5268
2514404,1992,5930
2514503,1992,17618
2514602,1992,2776
2514701,1992,3956
2514800,1992,6137
2514909,1992,8461
2515005,1992,4212
2515104,1992,8876
2515203,1992,4441
2515302,1992,59348
2515401,1992,7959
2515500,1992,13510
2515609,1992,3720
2515708,1992,2602
2515807,1992,7294
2515906,1992,9510
2516003,1992,32918
2516102,1992,11337
2516201,1992,79549
2516300,1992,17256
2516409,1992,10322
2516508,1992,15213
2516607,1992,14414
2516706,1992,17645
2516805,1992,10660
2516904,1992,20122
2517001,1992,17387
2517100,1992,2185
2600054,1992,77914
2600104,1992,30019
2600203,1992,13397
2600302,1992,18097
2600401,1992,25865
2600500,1992,38520
2600609,1992,11104
2600708,1992,37370
2600807,1992,23074
2600906,1992,20001
2601003,1992,8686
2601102,1992,61684
2601201,1992,56771
2601300,1992,10563
2601409,1992,41187
2601508,1992,12305
2601607,1992,22909
2601706,1992,61628
2601805,1992,11141
2601904,1992,52293
2602001,1992,28735
2602100,1992,41110
2602209,1992,36875
2602308,1992,35187
2602407,1992,8668
2602506,1992,7441
2602605,1992,31440
2602704,1992,12492
2602803,1992,38255
2602902,1992,128252
2603009,1992,24146
2603108,1992,16086
2603207,1992,20912
2603306,1992,9498
2603405,1992,6972
2603454,1992,99800
2603504,1992,14044
2603603,1992,7515
2603702,1992,24499
2603801,1992,19618
2603900,1992,18553
2603926,1992,11185
2604007,1992,55278
2604106,1992,216289
2604205,1992,31767
2604304,1992,9143
2604403,1992,10975
2604502,1992,15553
2604601,1992,18571
2604700,1992,16116
2604809,1992,12486
